,CustomerID,Age,Annual Income (k$),Spending Score (1-100),Cluster_id
0,1,19,15,39,1
1,2,21,15,81,1
2,3,20,16,6,1
3,4,23,16,77,1
4,5,31,17,40,1
5,6,22,17,76,1
6,7,35,18,6,1
7,8,23,18,94,1
8,9,64,19,3,1
9,10,30,19,72,1
10,11,67,19,14,1
11,12,35,19,99,1
12,13,58,20,15,1
13,14,24,20,77,1
14,15,37,20,13,1
15,16,22,20,79,1
16,17,35,21,35,1
17,18,20,21,66,1
18,19,52,23,29,1
19,20,35,23,98,1
20,21,35,24,35,1
21,22,25,24,73,1
22,23,46,25,5,1
23,24,31,25,73,1
24,25,54,28,14,1
25,26,29,28,82,1
26,27,45,28,32,1
27,28,35,28,61,1
28,29,40,29,31,1
29,30,23,29,87,1
30,31,60,30,4,1
31,32,21,30,73,1
32,33,53,33,4,1
33,34,18,33,92,1
34,35,49,33,14,1
35,36,21,33,81,1
36,37,42,34,17,1
37,38,30,34,73,1
38,39,36,37,26,1
39,40,20,37,75,1
40,41,65,38,35,1
41,42,24,38,92,1
42,43,48,39,36,1
43,44,31,39,61,1
44,45,49,39,28,1
45,46,24,39,65,1
46,47,50,40,55,1
47,48,27,40,47,1
48,49,29,40,42,1
49,50,31,40,42,1
50,51,49,42,52,1
51,52,33,42,60,1
52,53,31,43,54,1
53,54,59,43,60,1
54,55,50,43,45,1
55,56,47,43,41,1
56,57,51,44,50,1
57,58,69,44,46,1
58,59,27,46,51,1
59,60,53,46,46,1
60,61,70,46,56,1
61,62,19,46,55,1
62,63,67,47,52,1
63,64,54,47,59,1
64,65,63,48,51,1
65,66,18,48,59,1
66,67,43,48,50,1
67,68,68,48,48,1
68,69,19,48,59,1
69,70,32,48,47,1
70,71,70,49,55,1
71,72,47,49,42,1
72,73,60,50,49,1
73,74,60,50,56,1
74,75,59,54,47,1
75,76,26,54,54,1
76,77,45,54,53,1
77,78,40,54,48,1
78,79,23,54,52,1
79,80,49,54,42,1
80,81,57,54,51,1
81,82,38,54,55,1
82,83,67,54,41,1
83,84,46,54,44,1
84,85,21,54,57,1
85,86,48,54,46,1
86,87,55,57,58,1
87,88,22,57,55,1
88,89,34,58,60,1
89,90,50,58,46,1
90,91,68,59,55,1
91,92,18,59,41,1
92,93,48,60,49,1
93,94,40,60,40,1
94,95,32,60,42,1
95,96,24,60,52,1
96,97,47,60,47,1
97,98,27,60,50,1
98,99,48,61,42,1
99,100,20,61,49,1
100,101,23,62,41,1
101,102,49,62,48,1
102,103,67,62,59,1
103,104,26,62,55,1
104,105,49,62,56,1
105,106,21,62,42,1
106,107,66,63,50,1
107,108,54,63,46,1
108,109,68,63,43,1
109,110,66,63,48,1
110,111,65,63,52,1
111,112,19,63,54,1
112,113,38,64,42,2
113,114,19,64,46,2
114,115,18,65,48,0
115,116,19,65,50,0
116,117,63,65,43,2
117,118,49,65,59,0
118,119,51,67,43,2
119,120,50,67,57,0
120,121,27,67,56,0
121,122,38,67,40,2
122,123,40,69,58,0
123,124,39,69,91,0
124,125,23,70,29,2
125,126,31,70,77,0
126,127,43,71,35,2
127,128,40,71,95,0
128,129,59,71,11,2
129,130,38,71,75,0
130,131,47,71,9,2
131,132,39,71,75,0
132,133,25,72,34,2
133,134,31,72,71,0
134,135,20,73,5,2
135,136,29,73,88,0
136,137,44,73,7,2
137,138,32,73,73,0
138,139,19,74,10,2
139,140,35,74,72,0
140,141,57,75,5,2
141,142,32,75,93,0
142,143,28,76,40,2
143,144,32,76,87,0
144,145,25,77,12,2
145,146,28,77,97,0
146,147,48,77,36,2
147,148,32,77,74,0
148,149,34,78,22,2
149,150,34,78,90,0
150,151,43,78,17,2
151,152,39,78,88,0
152,153,44,78,20,2
153,154,38,78,76,0
154,155,47,78,16,2
155,156,27,78,89,0
156,157,37,78,1,2
157,158,30,78,78,0
158,159,34,78,1,2
159,160,30,78,73,0
160,161,56,79,35,2
161,162,29,79,83,0
162,163,19,81,5,2
163,164,31,81,93,0
164,165,50,85,26,2
165,166,36,85,75,0
166,167,42,86,20,2
167,168,33,86,95,0
168,169,36,87,27,2
169,170,32,87,63,0
170,171,40,87,13,2
171,172,28,87,75,0
172,173,36,87,10,2
173,174,36,87,92,0
174,175,52,88,13,2
175,176,30,88,86,0
176,177,58,88,15,2
177,178,27,88,69,0
178,179,59,93,14,2
179,180,35,93,90,0
180,181,37,97,32,2
181,182,32,97,86,0
182,183,46,98,15,2
183,184,29,98,88,0
184,185,41,99,39,2
185,186,30,99,97,0
186,187,54,101,24,2
187,188,28,101,68,0
188,189,41,103,17,2
189,190,36,103,85,0
190,191,34,103,23,2
191,192,32,103,69,0
192,193,33,113,8,2
193,194,38,113,91,0
194,195,47,120,16,2
195,196,35,120,79,0
196,197,45,126,28,2
197,198,32,126,74,0
198,199,32,137,18,2
199,200,30,137,83,0
